duration,cx0,cx1,cx2,cx3,cx4,cx5,cx6,cx7,cx8,cy0,cy1,cy2,cy3,cy4,cy5,cy6,cy7,cy8
0.298087597,0.000000469,0.000000081,-0.000000044,0.000000005,0.000000000,4.055729866,-7.391849518,4.879539490,-1.147362113,-0.000000465,-0.000000512,-0.000000178,-0.000000031,-0.000000000,-5.616285801,10.599075317,-7.113713264,1.685320497
0.274270266,0.396057904,0.833089292,0.020106552,-0.582710981,-0.093567796,0.933024168,-0.935493767,0.437579960,-0.085676171,-0.445603311,-0.736458123,0.528488815,0.947678328,-0.073701583,-1.425326467,1.445173144,-0.657260358,0.125843808
0.290517271,0.922409117,0.191411704,-0.225913078,0.214891806,-0.179872453,-0.057944216,0.051282134,0.017535659,-0.010625781,-0.291165501,0.867603838,0.083931543,-0.776993454,0.355268627,0.173859730,-0.118550278,-0.019695053,0.015609006
0.271112204,0.923173785,-0.260843843,-0.348310649,-0.032258078,0.128613815,0.038976517,-0.057951350,0.014794647,-0.000829175,0.289869845,0.252491623,-0.114637122,0.159654811,-0.114053324,-0.087845795,0.084623016,-0.020578329,0.001218418
0.303104073,0.405364156,-0.665970981,0.168193638,0.257564276,-0.134365171,-0.073669083,0.049704023,-0.006704914,-0.000113905,0.450741470,-0.022176666,-0.408897966,-0.188043296,0.126721114,0.091873631,-0.058205009,0.007820010,0.000166629
0.301732540,-0.000000224,-0.211362317,-0.000427816,-0.259996980,0.000200708,0.075658791,0.000439950,-0.007424274,0.000107519,0.000001133,-0.727701485,0.001827448,0.351687729,-0.001592338,-0.081950203,-0.000077133,0.008601479,-0.000158370
0.271020204,-0.402803689,-0.594238997,-0.136288390,0.182880089,0.086421192,-0.044152733,-0.022417480,0.008132346,0.000826187,-0.449355304,-0.023900326,0.325048655,-0.133006081,-0.079758361,0.055607710,0.024762424,-0.010643801,-0.001211363
0.290516764,-0.921641707,-0.283235759,0.398722976,-0.037458889,-0.169184700,0.022464439,0.122858018,-0.067001976,0.010543850,-0.292457581,0.268599957,0.135080606,0.195735797,0.148387909,-0.076641798,-0.178865612,0.104195438,-0.015466231
0.274352759,-0.923934639,0.179333344,0.202386901,0.179382324,0.142372295,-0.286653757,0.269932508,-0.246640831,0.085211664,0.288569272,0.820424199,-0.072891086,-0.651616812,-0.281232923,0.487047851,-0.365674645,0.347412795,-0.125001758
0.299472302,-0.398610711,0.909569740,-0.019437440,-0.753813505,0.128450736,-2.099644184,5.418070793,-4.343418598,1.158833742,0.447039038,-0.799095809,-0.636451960,1.222280383,0.111033812,2.996282816,-8.067155838,6.425993919,-1.699927211
