duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
0.441173,-0.000000,0.890125,0.000000,-0.470158,-0.000001,0.074385,-0.000004,-0.005327,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.792332,-0.000000,-0.209372,-0.000082,0.023427,-0.002308,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.441173,0.353553,0.629413,-0.560263,-0.332452,0.148049,0.052648,-0.016564,-0.002142,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.146447,0.629413,0.560263,-0.332452,-0.147987,0.052199,0.017219,-0.005821,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.441173,0.500000,0.000000,-0.792332,-0.000000,0.209365,0.000122,-0.023501,0.002352,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.890125,0.000000,-0.470158,0.000037,0.074184,0.000374,-0.005573,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.441173,0.353553,-0.629413,-0.560264,0.332452,0.148037,-0.052466,-0.016719,0.005505,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.853553,0.629413,-0.560263,-0.332452,0.148086,0.052452,-0.016184,-0.002390,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.441173,-0.000000,-0.890125,0.000000,0.470158,0.000031,-0.074565,0.000352,0.005098,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.792332,0.000000,0.209445,-0.000325,-0.022667,0.001801,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.441172,-0.353553,-0.629413,0.560263,0.332452,-0.148127,-0.052217,0.015732,0.002680,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.853553,-0.629413,-0.560263,0.332452,0.148019,-0.052372,-0.016895,0.005613,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.441173,-0.500000,-0.000000,0.792332,0.000000,-0.209415,0.000151,0.022996,-0.002021,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.890125,-0.000000,0.470158,0.000003,-0.074396,0.000030,0.005307,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.441173,-0.353553,0.629413,0.560263,-0.332452,-0.148072,0.052676,0.016299,-0.005222,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.146446,-0.629413,0.560264,0.332452,-0.148068,-0.052544,0.016356,0.002280,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
