duration,cx0,cx1,cx2,cx3,cx4,cx5,cx6,cx7,cx8,cy0,cy1,cy2,cy3,cy4,cy5,cy6,cy7,cy8,cz0,cz1,cz2,cz3,cz4,cz5,cz6,cz7,cz8
0.270191580,-0.000000000,0.022721646,-0.010373894,-0.022950139,0.007111570,0.005236327,-0.001745540,0.000000002,0.000000028,-1.600000024,0.118929207,0.476117849,-0.052012321,-0.135496959,0.010652806,0.029464141,-0.007653899,-0.000000796,0.049999997,0.558226824,-0.174759015,-0.294703633,0.044989657,0.049251799,-0.003153672,-0.003075070,-0.000000103
0.349275470,0.000000000,-0.029372172,-0.017335420,0.049576547,0.019860294,-0.018904919,-0.008138155,0.004313013,0.000000811,-1.159999967,0.710472345,-0.175736949,-0.358848810,0.256310463,0.096219793,-0.112568483,0.024145314,0.000006321,0.226776719,-0.374406993,-0.682292104,0.447299361,0.380635530,-0.123703852,-0.115124546,0.040806320,0.000009466
0.349275470,0.000000000,0.050971869,0.030030478,-0.071793661,-0.045724362,0.022891536,0.022061395,-0.008435575,-0.000001683,-0.719999969,0.282449752,0.066478737,0.222661376,-0.105589263,-0.071801580,0.056582291,-0.010779473,-0.000001840,-0.199999988,0.101902567,0.836710393,-0.140936479,-0.535868049,0.043030754,0.170676544,-0.048728589,-0.000010299
0.349275470,-0.000000000,-0.099482045,-0.077054612,0.120112725,0.104291245,-0.021986650,-0.037013490,0.011130804,0.000002018,-0.279999971,0.566049039,0.005225367,-0.163450286,0.006726827,0.041227303,-0.018912412,0.003133841,0.000000358,0.226776704,0.107072242,-0.834440649,-0.146647766,0.533212245,0.043212969,-0.170611128,0.041417744,0.000007642
0.402912110,0.000000000,0.311265945,0.489390492,-0.050914183,-0.303027660,-0.020837663,0.096459597,-0.022330828,-0.000005733,0.160000086,0.262618452,-0.333153337,0.011031436,0.068860412,-0.013108553,0.007142879,-0.003391083,-0.000000202,-0.200000003,-0.445876092,0.888702035,0.700231075,-0.637015820,-0.225204483,0.281478643,-0.062301088,-0.000014236
0.402912110,0.500000000,0.243401438,-0.712108493,-0.324109405,0.257697761,0.088668562,-0.059977889,0.006426141,0.000001816,0.160000086,-0.141576976,0.017942661,0.179545879,-0.008241243,-0.041485254,-0.016588612,0.010402014,0.000001530,0.300000042,1.010785937,-0.171286330,-0.651639581,0.277606726,0.154574558,-0.154916197,0.034868952,0.000005958
0.402912110,-0.000000044,-0.993879676,-0.016233014,0.618826151,0.026414316,-0.136175588,-0.014937129,0.015982445,0.000002554,0.160000086,0.165849417,0.061936285,-0.235887662,-0.100319058,0.077531070,0.056235366,-0.025341790,-0.000003633,0.800000012,-0.088772655,-0.506147265,0.126955941,-0.052433066,-0.042343795,0.089273751,-0.026528969,-0.000003941
0.402912140,-0.500000000,0.277186841,0.748621523,-0.376486510,-0.318956316,0.110016651,0.096943527,-0.037315611,-0.000009977,0.160000086,-0.271571308,-0.161079213,0.375688076,0.243649900,-0.117490135,-0.121166512,0.051956184,0.000012991,0.300000012,-0.791742444,-0.081428260,0.350526214,0.146164522,-0.064059712,-0.096465491,0.036995869,0.000009299
0.283861697,0.000000087,0.168804437,-0.260171562,0.028017610,0.093259223,-0.016053580,-0.020110231,0.006253131,0.000000883,0.160000086,0.392618835,0.261544138,-0.149931699,-0.084239073,0.042926986,0.029683121,-0.012600635,-0.000001674,-0.199999943,0.029302523,0.266409785,-0.118667722,-0.080220170,0.023357196,0.019892311,-0.006739310,-0.000000986
0.276131213,-0.000000001,-0.050194044,0.049762569,0.052674197,-0.062448382,-0.004658015,0.020059424,-0.005194669,-0.000001079,0.640000105,0.421666741,-0.079325236,0.087381959,0.120439112,-0.038061421,-0.049597591,0.017493043,0.000003417,-0.066666700,0.072173804,-0.170812964,-0.040558770,0.088653214,0.000981985,-0.023128623,0.006023619,0.000001279
