duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
0.543769,-0.000000,0.623648,1.143121,-0.047665,-2.830719,-0.061865,2.954049,-1.413316,-0.700000,-0.022450,0.007946,0.109967,-0.042887,-0.128545,0.078886,-0.000077,-0.500000,-0.393705,2.168591,0.748108,-2.667800,-0.284470,2.292933,-1.026699,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.543769,0.475528,0.563839,-1.593130,-1.213313,2.149392,0.800128,-2.425772,1.043007,-0.700000,0.022450,0.007946,-0.109967,-0.042885,0.128350,0.078894,-0.090229,-0.154508,1.256464,0.180588,-1.664262,0.950502,0.820913,-1.615438,0.683770,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.543769,0.293893,-1.016099,-0.612616,1.218813,-0.564527,-0.637731,1.544333,-0.735226,-0.700000,-0.031752,-0.027781,0.153853,0.148229,-0.174374,-0.264485,0.207062,0.404509,0.609680,-0.963989,-0.271796,-0.134392,-0.203702,0.987365,-0.489336,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.543769,-0.293893,-0.935574,0.639993,0.821482,0.413574,-0.164493,-1.254323,0.702198,-0.700000,0.055642,0.065678,-0.256217,-0.333715,0.248491,0.523466,-0.330812,0.404508,-0.662179,-1.166989,0.511235,0.937226,-0.020658,-0.875475,0.397693,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.543769,-0.475528,0.452494,1.505409,-0.650103,-1.645357,0.103536,1.418099,-0.629873,-0.700000,-0.116752,-0.188580,0.423682,0.801940,-0.097883,-0.735855,0.333576,-0.154509,-1.061858,0.545430,0.890409,-0.763949,-0.407393,0.637739,-0.202839,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
1.295160,0.000000,0.790618,-1.076720,-1.289890,1.381230,0.818841,-0.979872,0.219017,-0.700000,0.377412,1.135898,0.532958,-0.850728,-0.427345,0.533941,-0.117964,-0.500000,-0.203052,0.621446,-0.545781,-0.184587,0.413539,-0.134738,0.008925,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.543769,-0.000000,0.844279,1.006707,-1.405726,-1.317204,0.919307,1.006035,-0.694590,0.700000,0.374105,-1.131581,0.540112,0.846739,-0.433413,-0.535700,0.337656,-0.500000,0.222870,0.623572,0.459312,-0.218134,-0.319093,-0.053823,0.121220,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.543769,0.475528,0.408164,-1.519328,-0.442879,1.735492,-0.111357,-1.637620,0.907945,0.700000,-0.114024,0.189426,0.410906,-0.807458,-0.084595,0.749446,-0.343695,-0.154508,1.035265,0.523243,-0.760795,-0.642245,0.258043,0.407587,-0.211404,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.543769,0.293893,-0.872368,-0.583070,0.514976,-0.721010,0.183706,1.818559,-1.175408,0.700000,0.051772,-0.069090,-0.237282,0.352358,0.226350,-0.558789,0.235223,0.404509,0.707201,-1.118915,-0.730998,0.677377,0.275133,-0.397185,0.127217,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.543769,-0.293893,-1.127031,0.484673,1.741035,1.229592,-1.181563,-2.655766,1.799329,0.700000,-0.025117,0.034893,0.121279,-0.186941,-0.136089,0.336487,-0.145404,0.404508,-0.692440,-1.061116,0.668051,0.379869,-0.230762,0.087181,-0.045636,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.543769,-0.475528,0.786797,1.920026,-2.112285,-3.636191,1.326380,4.193153,-2.415495,0.700000,0.010362,-0.021612,-0.050635,0.117165,0.058849,-0.217211,0.104662,-0.154509,-1.093804,0.400353,0.952668,-0.117651,-0.229700,-0.086308,0.083290,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.543769,0.000000,0.001427,-2.756621,-0.006988,4.974672,0.008177,-5.000946,2.409506,0.700000,-0.000000,0.017899,-0.000001,-0.097235,-0.000086,0.181204,-0.104674,-0.500000,0.001036,1.346366,-0.005088,-0.656232,0.005962,0.230854,-0.087580,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.543769,-0.475528,-0.790229,1.917817,2.129084,-3.624246,-1.346124,4.170742,-1.779511,0.700000,-0.010362,-0.021612,0.050637,0.117176,-0.058754,-0.217131,0.145479,-0.154509,1.091311,0.398748,-0.940445,-0.108966,0.215312,-0.102492,0.059862,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
