duration,cx0,cx1,cx2,cx3,cx4,cx5,cx6,cx7,cx8,cy0,cy1,cy2,cy3,cy4,cy5,cy6,cy7,cy8,cz0,cz1,cz2,cz3,cz4,cz5,cz6,cz7,cz8
0.303835243,-0.000000000,0.022721646,-0.010373896,-0.022950137,0.007111569,0.005236328,-0.001745543,0.000000003,0.000000028,-1.600000024,0.118929252,0.476117849,-0.052012328,-0.135496959,0.010652787,0.029464165,-0.007653910,-0.000000794,0.050000004,0.558226705,-0.174759120,-0.294703484,0.044989672,0.049251795,-0.003153712,-0.003075044,-0.000000109
0.392766505,0.000000000,-0.029372174,-0.017335424,0.049576554,0.019860296,-0.018904923,-0.008138151,0.004313011,0.000000812,-1.159999967,0.710472405,-0.175737053,-0.358848870,0.256310582,0.096219763,-0.112568460,0.024145290,0.000006329,0.226776689,-0.374407053,-0.682291746,0.447299331,0.380635351,-0.123703897,-0.115124404,0.040806260,0.000009476
0.392766505,-0.000000000,0.050971873,0.030030480,-0.071793661,-0.045724362,0.022891536,0.022061396,-0.008435577,-0.000001683,-0.719999969,0.282449692,0.066478789,0.222661421,-0.105589323,-0.071801603,0.056582324,-0.010779482,-0.000001840,-0.199999988,0.101902604,0.836710155,-0.140936598,-0.535867810,0.043030757,0.170676485,-0.048728578,-0.000010298
0.392766505,0.000000000,-0.099482045,-0.077054612,0.120112732,0.104291253,-0.021986658,-0.037013486,0.011130799,0.000002020,-0.279999971,0.566049099,0.005225316,-0.163450316,0.006726870,0.041227315,-0.018912433,0.003133847,0.000000358,0.226776689,0.107072003,-0.834440351,-0.146647662,0.533212066,0.043212924,-0.170611054,0.041417718,0.000007646
0.453081846,-0.000000000,0.311265945,0.489390492,-0.050914194,-0.303027660,-0.020837639,0.096459575,-0.022330813,-0.000005736,0.160000086,0.262618423,-0.333153307,0.011031486,0.068860359,-0.013108575,0.007142911,-0.003391093,-0.000000201,-0.199999988,-0.445875883,0.888701916,0.700230718,-0.637015641,-0.225204319,0.281478494,-0.062301043,-0.000014241
0.453081846,0.500000000,0.243401438,-0.712108493,-0.324109405,0.257697761,0.088668570,-0.059977897,0.006426147,0.000001814,0.160000086,-0.141576961,0.017942639,0.179545864,-0.008241207,-0.041485254,-0.016588623,0.010402014,0.000001532,0.300000042,1.010785699,-0.171286285,-0.651639342,0.277606666,0.154574484,-0.154916167,0.034868952,0.000005959
0.453081846,-0.000000044,-0.993879676,-0.016233021,0.618826151,0.026414320,-0.136175543,-0.014937208,0.015982507,0.000002536,0.160000086,0.165849432,0.061936308,-0.235887662,-0.100319088,0.077531040,0.056235440,-0.025341842,-0.000003619,0.800000012,-0.088772498,-0.506147206,0.126955688,-0.052433100,-0.042343728,0.089273818,-0.026529018,-0.000003932
0.453081876,-0.500000000,0.277186871,0.748621464,-0.376486480,-0.318956316,0.110016592,0.096943595,-0.037315633,-0.000009978,0.160000086,-0.271571338,-0.161079228,0.375688106,0.243649945,-0.117490113,-0.121166579,0.051956203,0.000012993,0.300000012,-0.791742682,-0.081428297,0.350526541,0.146164641,-0.064059846,-0.096465595,0.036995910,0.000009305
0.319207519,0.000000087,0.168804422,-0.260171562,0.028017621,0.093259215,-0.016053621,-0.020110173,0.006253100,0.000000890,0.160000086,0.392618865,0.261544138,-0.149931699,-0.084239073,0.042927023,0.029683070,-0.012600608,-0.000001680,-0.199999988,0.029302590,0.266409636,-0.118668005,-0.080220215,0.023357293,0.019892296,-0.006739301,-0.000000992
0.310514480,0.000000000,-0.050194047,0.049762569,0.052674212,-0.062448394,-0.004658022,0.020059435,-0.005194672,-0.000001079,0.640000105,0.421666741,-0.079325274,0.087381974,0.120439164,-0.038061429,-0.049597617,0.017493051,0.000003417,-0.066666678,0.072173662,-0.170813441,-0.040558435,0.088653415,0.000981921,-0.023128701,0.006023647,0.000001278
