duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
0.687294,-0.000000,0.413078,-0.000419,0.436424,0.001665,-0.206704,-0.001914,0.030240,-0.000000,-0.847039,0.001361,0.439448,-0.002153,-0.040098,0.001673,-0.004130,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.632379,0.396058,0.823063,0.324049,-0.311686,-0.378623,0.085368,0.143550,-0.053570,-0.445604,-0.271459,0.763462,0.222716,-0.175034,-0.074153,-0.018193,0.027812,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.669840,0.922409,0.607358,-0.729261,-0.501812,0.278256,0.180156,-0.093578,0.001636,-0.291165,0.726389,0.593899,-0.452928,-0.272469,0.090386,0.104900,-0.044440,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.625098,0.923174,-0.603902,-0.725061,0.501098,0.269017,-0.180540,-0.085909,0.050668,0.289869,0.732556,-0.587208,-0.460010,0.268755,0.093293,-0.103584,0.026944,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.698861,0.405364,-0.825990,0.309172,0.319381,-0.365633,-0.086991,0.135792,-0.027371,0.450742,-0.255075,-0.775119,0.214509,0.183562,-0.074133,0.014211,-0.002572,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.695698,0.000000,-0.415337,0.000477,-0.429070,-0.001724,0.201718,0.001874,-0.029084,0.000000,-0.849855,0.001343,0.441117,-0.002101,-0.040967,0.001614,-0.003886,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.624886,-0.402804,-0.824984,-0.313774,0.316602,0.370775,-0.086072,-0.139824,0.052287,-0.449354,-0.259809,0.770325,0.216001,-0.178684,-0.073690,-0.017316,0.027936,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.669838,-0.921641,-0.608123,0.723236,0.503953,-0.270603,-0.181578,0.088831,0.000395,-0.292459,0.727116,0.593090,-0.453813,-0.271791,0.090418,0.104867,-0.044441,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.632569,-0.923935,0.603165,0.731106,-0.499024,-0.276702,0.179191,0.090632,-0.051980,0.288570,0.731831,-0.587966,-0.459121,0.269354,0.093177,-0.103508,0.026776,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.690487,-0.398611,0.824140,-0.319533,-0.314607,0.373536,0.086354,-0.139573,0.028484,0.447039,-0.266755,-0.768354,0.221329,0.180003,-0.074663,0.015018,-0.002759,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
