duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
0.353780,0.500000,-0.000000,-0.000000,-0.000000,-58.874397,62.130665,247.080307,-363.279907,0.000000,0.000000,0.000000,0.000000,108.389038,-186.668701,-300.505768,578.547791,0.000000,0.000000,0.000000,0.000000,40.393707,-61.282600,-126.217484,222.488144,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.353780,0.154508,-2.331174,-0.922589,14.080643,4.833018,-123.605095,240.864227,-151.724213,0.475528,2.524567,-4.538163,-29.168379,13.159985,245.612579,-512.911316,321.599152,0.200000,1.210968,-0.565889,-9.330255,3.511962,87.712379,-188.291565,120.523117,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.353780,-0.404509,-0.595526,1.859100,-3.666871,8.580227,13.533332,-44.860012,27.261162,0.293893,-2.711550,0.048625,18.964624,-26.727638,-43.239998,117.783035,-67.640587,0.400000,0.192497,0.790299,4.754513,-11.704194,-12.098928,48.425133,-31.841381,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.353780,-0.404508,0.805223,3.034826,0.632930,-8.914783,-7.554317,31.718596,-20.750402,-0.293893,-0.688867,0.762615,-5.757258,12.093276,24.423664,-66.420959,38.894814,0.600000,0.689472,-0.637222,-1.524655,8.091871,5.300312,-36.652306,27.496843,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.353780,0.154509,1.789492,-1.294710,-4.724302,5.167724,5.488802,-18.762518,13.054493,-0.475528,0.069095,3.467728,4.428915,-9.224402,-14.794390,28.204428,-11.322292,0.800000,0.673086,0.755872,-0.822756,-8.766870,-0.402804,30.815855,-24.726589,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.353780,0.500000,-0.000003,-2.887126,0.000023,-0.116351,0.024532,13.568752,-13.055843,0.000000,2.175583,-0.000009,-8.371774,-0.009923,15.317158,-0.171095,-11.317115,1.000000,0.000002,-2.516002,0.000002,10.053654,-0.017207,-30.421324,24.728144,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.353779,0.154508,-1.789485,-1.294700,4.724253,5.114030,-5.236159,-19.666649,20.748455,0.475528,0.069100,-3.467708,4.428892,9.123721,-14.336805,-29.896036,38.889187,0.800000,-0.673090,0.755867,0.822755,-8.729951,0.230353,31.437664,-27.492031,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.353780,-0.404508,-0.805234,3.034812,-0.632855,-9.451719,10.035926,22.652040,-27.260305,0.293893,-0.688882,-0.762640,-5.757196,-13.082549,28.992609,49.715397,-67.629089,0.600000,-0.689465,-0.637213,1.524635,8.460479,-7.000537,-30.428192,31.839891,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.353779,-0.404508,0.595544,1.859116,3.666675,3.247066,11.114945,-134.857147,151.698959,-0.293893,-2.711523,-0.048594,18.964392,16.910046,2.135459,-283.454468,321.527039,0.400000,-0.192508,0.790287,-4.754422,-8.045374,-4.812011,110.168144,-120.504669,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.353780,0.154508,2.331172,-0.922472,-14.081005,-48.113983,368.307770,-652.749390,363.426422,-0.475528,2.524570,4.538377,-29.169271,-110.638573,696.099365,-1132.267212,578.563904,0.200000,-1.210968,-0.565968,9.330569,39.838245,-255.595367,424.802368,-222.516434,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
