duration,cx0,cx1,cx2,cx3,cx4,cx5,cx6,cx7,cx8,cy0,cy1,cy2,cy3,cy4,cy5,cy6,cy7,cy8,cz0,cz1,cz2,cz3,cz4,cz5,cz6,cz7,cz8
0.481896430,0.500000000,0.000000000,0.000000000,-0.000000000,-0.000000000,-1.353408337,2.417222977,-1.579758525,0.369497240,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.966372252,-7.334980965,4.868493557,-1.146331549,0.000000000,0.000000000,-0.000000000,-0.000000000,-0.000000000,1.342910647,-2.466769695,1.632923603,-0.384064436
0.481896460,0.353553385,-0.366035372,-0.104744308,0.210674524,0.064562641,-0.416757107,0.413066745,-0.191539332,0.037218798,0.353553385,0.730778694,-0.219908699,-0.833186030,-0.038784117,1.362062097,-1.345176935,0.606124341,-0.115462802,0.125000000,0.271884084,-0.034849416,-0.261572540,-0.019178996,0.452400595,-0.447402120,0.202402949,-0.038684547
0.481896400,-0.000000022,-0.333659798,-0.037114374,-0.056934960,0.078217499,0.014410883,-0.015660528,-0.006567320,0.003755231,0.500000000,-0.305316001,-0.013551129,0.477195263,-0.274171472,-0.107731625,0.068359166,0.020395828,-0.011626644,0.250000000,0.025686154,0.045627791,0.155443728,-0.092022628,-0.034449350,0.021481708,0.007127918,-0.003895314
0.481896460,-0.353553385,-0.303661585,0.137819454,0.067270070,-0.051626071,-0.018282032,0.030521724,-0.008902671,0.000414514,0.353553385,-0.076263815,-0.176156521,-0.266861618,0.112546943,0.113431595,-0.073293112,0.014094986,-0.001051889,0.375000000,0.190558821,-0.021827234,-0.096166641,0.034761414,0.037309650,-0.023914317,0.004630751,-0.000352443
0.481896460,-0.500000000,0.000000827,0.129529089,-0.000000734,0.032212153,-0.001111900,-0.020176219,0.005576527,0.000416939,-0.000000044,-0.561324835,0.000001382,0.286198616,0.000000546,-0.089258097,0.004109912,0.005664119,0.001054959,0.500000000,0.070108160,0.000000455,0.080028646,0.000000159,-0.028673787,0.001376843,0.001806090,0.000353437
0.481896371,-0.353553325,0.303659737,0.137818828,-0.067268424,-0.051626403,0.007185972,0.043490887,-0.023458775,0.003751518,-0.353553444,-0.076266535,0.176153481,-0.266859919,-0.112549894,0.079692423,0.114335366,-0.072566561,0.011615089,0.625000000,0.190557852,0.021826241,-0.096166044,-0.034762356,0.026005479,0.037665308,-0.024018027,0.003891544
0.481896609,0.000000006,0.333662570,-0.037113678,0.056931343,0.078216009,-0.123585232,0.114451393,-0.106230758,0.037221868,-0.500000000,-0.305309981,0.013553789,0.477188170,0.274169922,-0.446373254,0.335399032,-0.317657381,0.115476429,0.750000000,0.025688203,-0.045626983,0.155441269,0.092022032,-0.147906587,0.113792278,-0.107099131,0.038688920
0.481896371,0.353553504,0.366034895,-0.104738556,-0.210680678,0.064514868,-0.666699350,1.704663038,-1.376124978,0.369477272,-0.353553265,0.730779171,0.219925746,-0.833210826,0.038630936,-1.999214411,5.352210522,-4.301829338,1.146261573,0.875000000,0.271884203,0.034855232,-0.261580676,0.019127967,-0.673756778,1.789912462,-1.439484000,0.384041548
