duration,cx0,cx1,cx2,cx3,cx4,cx5,cx6,cx7,cx8,cy0,cy1,cy2,cy3,cy4,cy5,cy6,cy7,cy8
1.049999952,-0.000000000,-0.000000000,0.000000000,-0.000000000,-0.000000000,3.934216022,-7.153302670,4.733482838,-1.118338108,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-6.612539291,12.870387077,-8.824481964,2.121030331
0.709999979,0.396057993,0.634901285,0.060487922,-0.209909663,-0.050223172,0.249442279,-0.265515834,0.134915501,-0.027747300,-0.445603997,-0.435132682,0.459583044,0.371993542,-0.081877574,-0.489632726,0.539364100,-0.262483031,0.052624334
0.620000005,0.922408998,0.263545334,-0.230742022,-0.038956042,-0.003499164,0.011290027,-0.004039295,0.004880034,-0.001713836,-0.291164994,0.562486827,0.182835951,-0.202766135,0.033270624,0.008786187,0.003023817,-0.009853614,0.003250349
0.699999988,0.923174024,-0.311770529,-0.333721340,0.077699170,0.070186034,-0.003055452,-0.023928097,0.007046363,-0.000266170,0.289869010,0.532953024,-0.265823394,-0.121183529,0.008460382,-0.012908799,0.027107174,-0.008238246,0.000506360
0.560000002,0.405364007,-0.461617798,0.045783851,0.041494556,-0.031138550,-0.004161354,0.004913238,-0.000626925,-0.000011028,0.450742006,-0.227136463,-0.294346988,0.033654291,0.039989490,0.001132789,-0.004694041,0.000638075,0.000020847
0.560000002,0.000000000,-0.365924656,0.002047045,-0.048968345,-0.000961058,0.011536083,0.000301641,-0.000845713,0.000011029,-0.000000000,-0.572776616,0.001453386,0.134559363,-0.000965289,-0.012465317,0.000194097,0.000667230,-0.000020848
0.699999988,-0.402803987,-0.573651671,-0.075296961,0.077341288,0.079140738,-0.012468150,-0.019425806,0.005250702,0.000272859,-0.449353993,-0.283388853,0.454728246,0.062719762,-0.093961790,0.006363661,0.014780886,-0.003834853,-0.000512072
0.620000005,-0.921640992,-0.279546112,0.261554837,0.055420861,-0.044133544,-0.006735038,0.018436771,-0.009026728,0.001734962,-0.292459011,0.467606544,0.211495951,-0.081135005,-0.006458925,0.001392089,-0.024770262,0.016166233,-0.003267619
0.709999979,-0.923934996,0.298806936,0.303240269,-0.057826448,0.007317082,-0.065004580,0.098718792,-0.088031761,0.028103694,0.288569987,0.648984969,-0.236441866,-0.308796763,-0.058415879,0.183280677,-0.176643804,0.159428596,-0.052926905
1.049999952,-0.398611009,0.942003131,-0.125458896,-0.684180379,0.235446334,-2.238696575,5.406141758,-4.269457340,1.132813215,0.447039008,-0.643054128,-1.015084147,1.208254576,0.399152637,4.095235825,-10.549862862,8.191706657,-2.133387327
