duration,cx0,cx1,cx2,cx3,cx4,cx5,cx6,cx7,cx8,cy0,cy1,cy2,cy3,cy4,cy5,cy6,cy7,cy8,cz0,cz1,cz2,cz3,cz4,cz5,cz6,cz7,cz8
1.074736595,-0.000000000,0.327119321,-0.009632437,-0.448106796,-0.080965102,0.178711802,0.092523813,-0.059638336,-0.000012258,-1.600000024,0.077261843,0.468169212,-0.013969334,-0.114392526,0.004670251,0.023238759,-0.004976993,-0.000001147,0.050000004,1.167379618,-0.076618090,-1.135226250,-0.238810807,0.367482036,0.206845000,-0.114249438,-0.000025441
0.747287691,0.000000000,-0.228893563,0.039878476,0.261404425,0.026238214,-0.084400237,-0.036730945,0.022500312,0.000003310,-1.159999967,0.446436733,0.014814056,-0.045154434,0.019462837,0.006425245,-0.001314877,-0.000669435,-0.000000136,0.226776689,-0.742775917,-0.259922802,0.578578651,0.163800210,-0.128746465,-0.067037120,0.029321468,0.000005251
0.666643381,0.000000000,0.227634281,0.047075365,-0.301414549,-0.100688025,0.094881929,0.060877673,-0.028362397,-0.000004282,-0.719999969,0.390735209,0.021164777,0.033518769,0.005336472,-0.008775316,-0.003023959,0.001043616,0.000000419,-0.199999988,0.256610245,0.621921182,-0.261171639,-0.290611416,0.048073448,0.069693327,-0.017733587,-0.000004864
0.663923621,0.000000000,-0.342702210,-0.193454102,0.463562071,0.289136052,-0.133004561,-0.134346321,0.050796237,0.000012835,-0.279999971,0.498214364,0.042208504,-0.056125116,-0.046575751,-0.004882164,0.004187208,0.002973284,-0.000000273,0.226776689,0.088482670,-0.745548666,-0.167892501,0.368071318,0.091688767,-0.053231485,-0.008347604,0.000000860
0.533253253,0.000000000,0.563992739,0.421827018,-0.320354223,-0.254821688,0.042898808,0.059453443,-0.012992645,-0.000003446,0.160000086,0.200375497,-0.212371036,-0.053604551,0.039896276,0.027640987,0.006698900,-0.008634305,-0.000001762,-0.199999988,-0.283828110,0.582105517,0.447948009,-0.109892800,-0.134724364,-0.029931394,0.028316116,0.000007072
0.366132975,0.500000000,-0.063486025,-0.481001258,-0.057135876,0.088115789,0.019320808,-0.003311741,-0.002501191,-0.000000543,0.160000086,-0.073913455,0.029094616,0.069289900,-0.005275812,-0.017334180,-0.005630306,0.003768560,0.000000680,0.300000042,0.775664985,0.030743651,-0.306212574,-0.053543374,0.042836748,0.017639816,-0.007127981,-0.000001310
0.351550639,-0.000000044,-0.753938675,-0.030167783,0.296305567,0.040342335,-0.043342412,-0.016321350,0.007122353,0.000000028,0.160000086,0.073909089,0.024589583,-0.093676291,-0.037784018,0.022902779,0.016269140,-0.006210344,0.000000061,0.800000012,-0.024525307,-0.613926172,0.009936558,0.149308801,-0.000886783,-0.025292335,0.005384131,0.000001129
0.500575542,-0.500000000,-0.040968180,1.159998059,-0.152699381,-0.706670702,0.048742563,0.279378861,-0.087752581,-0.000028546,0.160000086,-0.199944898,-0.284853369,0.266294658,0.425095022,-0.058066599,-0.226602718,0.078052767,0.000025173,0.300000012,-1.059134722,0.074170068,0.811143100,-0.189041659,-0.231284738,0.103520468,-0.009369830,-0.000002665
0.284766972,0.000000087,0.170513853,-0.227707699,0.004175770,0.068535298,-0.007104715,-0.011374178,0.002961746,-0.000000153,0.160000086,0.356251299,0.234532118,-0.075995579,-0.055578191,0.013269540,0.010858419,-0.003337709,0.000000117,-0.199999988,0.094181940,0.134778827,-0.094914995,-0.012650480,0.011496063,0.001282394,-0.000840291,-0.000000144
0.388963282,0.000000000,-0.111007683,0.030903051,0.212630123,-0.118174292,-0.062558733,0.060727157,-0.012516452,-0.000003172,0.640000105,0.659936368,-0.189256281,-0.166299060,0.197826788,0.039599881,-0.081166066,0.019353911,0.000004486,-0.066666678,0.119767830,-0.203961447,-0.087475874,0.120593145,0.007295612,-0.029883495,0.006995903,0.000001667
0.468039513,-0.000000000,0.096168175,-0.025869602,-0.190545559,0.087301642,0.097844131,-0.081821531,0.016919352,0.000003400,1.120000124,0.505807221,0.121442042,0.131236076,-0.301820904,-0.102701001,0.165131345,-0.039086509,-0.000008342,-0.133333340,-0.194992810,0.041749805,0.200595438,-0.096875146,-0.063063696,0.058043592,-0.012121184,-0.000002661
0.508373380,0.000000000,-0.066525072,0.038724422,0.119225092,-0.081265323,-0.056835651,0.060236000,-0.013557250,-0.000002217,1.600000024,0.150681600,-0.786753416,-0.216469243,0.407865644,0.101000808,-0.178390428,0.042057373,0.000007787,-0.200000003,0.055249445,0.056255102,-0.103875093,0.047369167,0.046123747,-0.044105105,0.009647753,0.000001647
0.568917394,-0.000000000,0.028936408,-0.051063031,-0.061807934,0.099497288,0.034666006,-0.068162531,0.017929101,0.000004697,1.120000124,-0.796397448,0.286300868,0.461992651,-0.455525160,-0.150410846,0.228145167,-0.054091327,-0.000013937,-0.133333340,0.088572443,0.039017163,0.003504544,-0.071837358,-0.027752329,0.046078518,-0.010913632,-0.000002690
