duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
0.692280,0.500000,-0.000000,-0.000000,-0.000000,-4.015426,2.165521,4.400944,-3.306742,-0.000000,-0.000000,-0.000000,-0.000000,7.392489,-6.506208,-5.352512,5.266189,0.000000,0.000000,0.000000,0.000000,2.755018,-2.136108,-2.247976,2.025118,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.692280,0.154508,-1.191313,-0.240941,1.879214,0.329621,-4.308158,4.290207,-1.381052,0.475528,1.290144,-1.185175,-3.892836,0.897521,8.560752,-9.136009,2.927420,0.200000,0.618848,-0.147786,-1.245224,0.239540,3.057118,-3.353724,1.097045,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.692279,-0.404509,-0.304335,0.485518,-0.489384,0.585194,0.471719,-0.799063,0.248153,0.293893,-1.385699,0.012699,2.531035,-1.822947,-1.507049,2.097785,-0.615630,0.400000,0.098373,0.206393,0.634541,-0.798275,-0.421663,0.862495,-0.289816,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.692280,-0.404508,0.411498,0.792568,0.084471,-0.608019,-0.263293,0.564962,-0.188876,-0.293893,-0.352036,0.199163,-0.768368,0.824815,0.851220,-1.183014,0.354021,0.600000,0.352345,-0.166416,-0.203482,0.551921,0.184632,-0.652720,0.250236,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.692280,0.154509,0.914494,-0.338123,-0.630509,0.352459,0.191296,-0.334185,0.118823,-0.475528,0.035310,0.905623,0.591087,-0.629143,-0.515624,0.502337,-0.103045,0.800000,0.343971,0.197402,-0.109806,-0.597923,-0.014064,0.548926,-0.225086,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.692280,0.500000,-0.000002,-0.753995,0.000003,-0.007942,0.000881,0.241653,-0.118827,0.000000,1.111801,-0.000002,-1.117304,-0.000688,0.533903,-0.003075,-0.103000,1.000000,0.000001,-0.657073,0.000000,0.685675,-0.000547,-0.541926,0.225112,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.692279,0.154508,-0.914491,-0.338121,0.630503,0.348795,-0.182508,-0.350290,0.188858,0.475528,0.035313,-0.905618,0.591084,0.622269,-0.499704,-0.532496,0.353984,0.800000,-0.343973,0.197400,0.109806,-0.595410,0.008029,0.559963,-0.250245,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.692280,-0.404508,-0.411503,0.792564,-0.084461,-0.644647,0.349826,0.403428,-0.248119,0.293893,-0.352043,-0.199169,-0.768360,-0.892271,1.010528,0.885523,-0.615591,0.600000,-0.352341,-0.166413,0.203479,0.577052,-0.244072,-0.541896,0.289786,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.692279,-0.404508,0.304344,0.485522,0.489357,0.221465,0.387399,-2.402033,1.380824,-0.293893,-1.385685,-0.012691,2.531003,1.153292,0.074535,-5.048950,2.926741,0.400000,-0.098378,0.206390,-0.634529,-0.548699,-0.167801,1.962387,-1.096929,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.692280,0.154508,1.191313,-0.240910,-1.879263,-3.281385,12.836487,-11.625791,3.307682,-0.475528,1.290145,1.185231,-3.892956,-7.545919,24.262129,-20.167816,5.266396,0.200000,-0.618848,-0.147807,1.245265,2.717119,-8.908656,7.566517,-2.025449,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
