duration,cx0,cx1,cx2,cx3,cx4,cx5,cx6,cx7,cx8,cy0,cy1,cy2,cy3,cy4,cy5,cy6,cy7,cy8,cz0,cz1,cz2,cz3,cz4,cz5,cz6,cz7,cz8
0.528713644,-0.000000000,0.022721648,-0.010373896,-0.022950139,0.007111569,0.005236330,-0.001745543,0.000000004,0.000000028,-1.600000024,0.118929245,0.476117849,-0.052012321,-0.135496974,0.010652783,0.029464170,-0.007653912,-0.000000794,0.050000004,0.558226705,-0.174759120,-0.294703513,0.044989672,0.049251802,-0.003153717,-0.003075041,-0.000000110
0.683465838,0.000000000,-0.029372176,-0.017335424,0.049576558,0.019860296,-0.018904924,-0.008138151,0.004313011,0.000000812,-1.159999967,0.710472405,-0.175737053,-0.358848870,0.256310552,0.096219756,-0.112568446,0.024145285,0.000006330,0.226776689,-0.374407083,-0.682291746,0.447299361,0.380635351,-0.123703904,-0.115124390,0.040806253,0.000009477
0.683465838,-0.000000000,0.050971877,0.030030482,-0.071793668,-0.045724366,0.022891540,0.022061396,-0.008435577,-0.000001683,-0.719999969,0.282449692,0.066478789,0.222661421,-0.105589315,-0.071801603,0.056582324,-0.010779482,-0.000001839,-0.199999988,0.101902612,0.836710155,-0.140936598,-0.535867810,0.043030757,0.170676485,-0.048728578,-0.000010298
0.683465838,0.000000000,-0.099482052,-0.077054620,0.120112740,0.104291260,-0.021986654,-0.037013497,0.011130807,0.000002018,-0.279999971,0.566049099,0.005225319,-0.163450330,0.006726864,0.041227315,-0.018912427,0.003133844,0.000000358,0.226776689,0.107071996,-0.834440351,-0.146647647,0.533212066,0.043212935,-0.170611084,0.041417733,0.000007641
0.788422525,-0.000000000,0.311265975,0.489390492,-0.050914202,-0.303027660,-0.020837659,0.096459605,-0.022330832,-0.000005732,0.160000086,0.262618393,-0.333153307,0.011031492,0.068860374,-0.013108571,0.007142896,-0.003391086,-0.000000202,-0.199999988,-0.445875853,0.888701916,0.700230718,-0.637015581,-0.225204363,0.281478524,-0.062301069,-0.000014234
0.788422525,0.500000000,0.243401423,-0.712108493,-0.324109375,0.257697761,0.088668555,-0.059977900,0.006426146,0.000001816,0.160000086,-0.141576946,0.017942650,0.179545835,-0.008241228,-0.041485239,-0.016588615,0.010402013,0.000001531,0.300000042,1.010785699,-0.171286270,-0.651639342,0.277606636,0.154574484,-0.154916152,0.034868944,0.000005959
0.788422525,-0.000000044,-0.993879676,-0.016232999,0.618826091,0.026414288,-0.136175558,-0.014937142,0.015982460,0.000002547,0.160000086,0.165849388,0.061936285,-0.235887617,-0.100319050,0.077531040,0.056235380,-0.025341803,-0.000003628,0.800000012,-0.088772520,-0.506147265,0.126955733,-0.052433066,-0.042343728,0.089273773,-0.026528990,-0.000003938
0.788422644,-0.500000000,0.277186811,0.748621583,-0.376486510,-0.318956375,0.110016644,0.096943565,-0.037315626,-0.000009977,0.160000086,-0.271571279,-0.161079258,0.375688076,0.243649960,-0.117490128,-0.121166557,0.051956199,0.000012992,0.300000012,-0.791742682,-0.081428282,0.350526571,0.146164641,-0.064059846,-0.096465603,0.036995921,0.000009301
0.555463493,0.000000087,0.168804437,-0.260171562,0.028017618,0.093259223,-0.016053593,-0.020110216,0.006253125,0.000000884,0.160000086,0.392618865,0.261544138,-0.149931684,-0.084239066,0.042926993,0.029683117,-0.012600637,-0.000001673,-0.199999988,0.029302601,0.266409636,-0.118668012,-0.080220215,0.023357268,0.019892335,-0.006739324,-0.000000986
0.540336370,0.000000000,-0.050194036,0.049762562,0.052674189,-0.062448371,-0.004658021,0.020059429,-0.005194671,-0.000001079,0.640000105,0.421666712,-0.079325199,0.087381959,0.120439097,-0.038061421,-0.049597584,0.017493034,0.000003421,-0.066666678,0.072173633,-0.170813411,-0.040558413,0.088653378,0.000981924,-0.023128698,0.006023647,0.000001278
0.540336251,0.000000000,0.018255301,-0.021712173,-0.024384813,0.033263929,0.006550070,-0.016322810,0.004349686,0.000000809,1.120000124,0.641504467,0.148326740,-0.190979674,-0.201335967,0.031909719,0.072904170,-0.022324972,-0.000004578,-0.133333340,-0.128201693,0.028852770,0.072199568,-0.042450313,-0.011222385,0.019060336,-0.004904044,-0.000000904
0.540336251,0.000000000,-0.000000000,0.016741576,-0.000000278,-0.026532225,0.000003006,0.014138408,-0.004349696,-0.000000790,1.600000024,0.000537281,-0.688920856,-0.000773301,0.270080686,0.000248008,-0.083447516,0.022271162,0.000004637,-0.200000003,0.000215861,0.061420564,-0.000310969,0.015637984,0.000102903,-0.015282970,0.004882412,0.000000874
0.540336370,-0.000000000,-0.018255305,-0.021712180,0.024385450,0.033264294,-0.006556927,-0.016321072,0.005194678,0.000001062,1.120000124,-0.642811537,0.147835031,0.192829713,-0.200576916,-0.032483958,0.072535090,-0.017323855,-0.000003576,-0.133333340,0.127676636,0.028655207,-0.071456045,-0.042146441,0.010987836,0.018906387,-0.005955669,-0.000001249
0.555463493,0.000000000,0.051599257,0.052587844,-0.057223894,-0.069740668,0.005355751,0.023675542,-0.006252936,-0.000000811,0.640000105,-0.431208104,-0.082271710,-0.097936422,0.132275566,0.044464741,-0.057596132,0.012270263,0.000001759,-0.066666678,-0.073284797,-0.179885760,0.042852536,0.098111629,-0.000818814,-0.026915561,0.006606531,0.000000932
0.788422644,0.000000087,-0.239600331,-0.524163723,-0.080116689,0.378544986,0.092437945,-0.164427057,0.037314642,0.000010156,0.160000086,-0.564643741,0.515764773,0.438806474,-0.323743701,-0.249650151,0.231646165,-0.048167188,-0.000012602,-0.199999988,-0.044549838,0.532246113,0.343386322,-0.318311661,-0.135487780,0.158199102,-0.035473213,-0.000009042
0.788422525,-0.500000000,-0.277186751,0.748621345,0.376482606,-0.318947583,-0.109973304,0.096989550,-0.015982581,-0.000003313,0.160000086,0.292685360,-0.143951029,-0.406303853,0.215964049,0.128044635,-0.105792306,0.019349789,0.000003373,0.300000012,0.800225496,-0.074546754,-0.362824708,0.135040507,0.068277016,-0.090296850,0.024121661,0.000003639
0.788422525,-0.000000044,0.993879676,-0.016232999,-0.618825495,0.026406970,0.136169583,-0.014970337,-0.006426135,-0.000001165,0.160000086,-0.209327266,0.032923382,0.299583972,-0.053218711,-0.100193568,0.029730678,0.000501769,-0.000000249,0.800000012,0.071304627,-0.517803609,-0.101367608,-0.033514332,0.033268526,0.078605220,-0.030488117,-0.000004659
0.788422525,0.500000000,-0.243401423,-0.712108493,0.324111432,0.257703513,-0.088692240,-0.059949402,0.022331065,0.000005521,0.160000086,0.223323181,0.066917688,-0.303065032,-0.090681903,0.088739425,0.033213984,-0.018443244,-0.000004092,0.300000042,-0.977942944,-0.151609808,0.602019668,0.244496331,-0.135656625,-0.134847969,0.053529430,0.000011841
0.683465838,-0.000000000,-0.269829512,0.367765605,0.033165738,-0.171123460,0.010217622,0.040937018,-0.011130918,-0.000002104,0.160000086,-0.347547352,-0.291713923,0.156435490,0.116007052,-0.048723880,-0.040714804,0.016254650,0.000002704,-0.199999988,0.338352442,0.651223063,-0.390424907,-0.328748733,0.088144019,0.101865560,-0.033628512,-0.000006241
0.683465838,-0.000000000,0.099482052,-0.077054620,-0.120111465,0.104290493,0.021972643,-0.037016459,0.008435559,0.000001795,-0.279999971,-0.371744573,0.117097363,-0.112006977,-0.169232354,0.048503336,0.073099777,-0.025711883,-0.000004703,0.226776689,-0.029007204,-0.789494038,0.035984069,0.462519974,-0.007224103,-0.133630663,0.034067523,0.000007796
0.683465838,0.000000000,-0.050971877,0.030030482,0.071792819,-0.045722991,-0.022882175,0.022067767,-0.004313085,-0.000000942,-0.719999969,-0.649405658,-0.192868888,0.257913232,0.269535840,-0.053135768,-0.106941178,0.034893580,0.000008815,-0.199999988,-0.249332711,0.732513309,0.334009588,-0.385151416,-0.093167856,0.104996927,-0.017087059,-0.000004069
