duration,cx0,cx1,cx2,cx3,cx4,cx5,cx6,cx7,cx8,cy0,cy1,cy2,cy3,cy4,cy5,cy6,cy7,cy8,cz0,cz1,cz2,cz3,cz4,cz5,cz6,cz7,cz8
3.000000000,0.800000012,0.000000000,0.000000000,0.000000000,-11.127238274,31.156288147,-28.930860519,8.901810646,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-53.406154633,131.640655518,-107.825836182,29.591320038,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.137760162,29.918331146,-24.505870819,6.725299358,0.000000000
0.857404351,0.800000012,-0.000000243,-0.181778729,0.000002176,0.133104652,-0.000021660,-0.087056942,0.028564813,0.000006216,0.000000000,1.361262798,-0.000000075,-0.421104699,-0.000008744,0.186334059,-0.000041259,-0.026437279,-0.000004809,0.000000000,0.309377909,-0.000000014,-0.095705636,-0.000001982,0.042348657,-0.000009382,-0.006008471,-0.000001093
0.662970006,0.692820311,-0.118751787,-0.053319119,-0.096536726,-0.061717708,0.021517098,0.024148064,-0.008158207,-0.000001949,1.100000024,0.652788520,0.026329290,0.238455489,0.001930766,-0.102121085,-0.039542742,0.027408486,0.000007261,0.250000000,0.148361027,0.005983930,0.054194435,0.000438810,-0.023209339,-0.008986986,0.006229201,0.000001650
0.379362583,0.399999976,-0.324172378,-0.100593850,0.012942661,0.013124336,-0.000307641,-0.001158681,0.000165554,-0.000000004,1.905256033,0.499311954,-0.093413122,-0.113575824,-0.015225192,0.014514673,0.005351088,-0.002219269,-0.000000310,0.433012724,0.113479994,-0.021230254,-0.025812687,-0.003460271,0.003298789,0.001216156,-0.000504379,-0.000000070
0.379362673,-0.000000035,-0.441366315,0.000000040,0.044984166,0.000000013,-0.003783475,0.000000014,0.000165546,-0.000000024,2.200000048,0.000000020,-0.346692204,0.000000113,0.059918426,-0.000001336,-0.010188620,0.002219180,0.000000288,0.500000000,0.000000004,-0.078793682,0.000000025,0.013617824,-0.000000304,-0.002315596,0.000504359,0.000000065
0.662970185,-0.400000066,-0.566520154,0.307220608,0.069077626,-0.122418493,-0.005009211,0.032988802,-0.008157725,-0.000001827,1.905255914,-0.872592688,-0.285290152,0.606181622,-0.142019019,-0.236553624,0.152431965,-0.027406869,-0.000007516,0.433012694,-0.198316529,-0.064838670,0.137768567,-0.032277048,-0.053762190,0.034643628,-0.006228834,-0.000001708
0.857404232,-0.692820430,-0.153579190,0.089179657,-0.208814234,0.172658041,0.077802844,-0.112997130,0.028564291,0.000006140,1.099999666,-0.844236672,0.044037290,-0.515795112,0.005387119,0.369358808,-0.185194790,0.026437012,0.000006488,0.249999911,-0.191871956,0.010008495,-0.117226169,0.001224326,0.083945185,-0.042089716,0.006008409,0.000001475
0.857404411,-0.800000012,0.000000203,0.181778863,-0.000002147,-0.133104801,0.000021661,0.087057054,-0.028564865,-0.000006212,-0.000000192,-1.361262918,-0.000000103,0.421104699,0.000008897,-0.186334074,0.000041155,0.026437327,0.000004807,-0.000000044,-0.309377939,-0.000000049,0.095705636,0.000002048,-0.042348661,0.000009340,0.006008489,0.000001093
0.662969708,-0.692820251,0.118751831,0.053319156,0.096536674,0.061717607,-0.021517085,-0.024148021,0.008158191,0.000001951,-1.100000381,-0.652788401,-0.026329307,-0.238455117,-0.001930720,0.102120921,0.039542638,-0.027408412,-0.000007267,-0.250000089,-0.148360983,-0.005983919,-0.054194365,-0.000438810,0.023209305,0.008986969,-0.006229187,-0.000001652
0.379362524,-0.399999946,0.324172348,0.100593828,-0.012942664,-0.013124336,0.000307648,0.001158675,-0.000165551,0.000000004,-1.905256033,-0.499311864,0.093413040,0.113575771,0.015225201,-0.014514665,-0.005351084,0.002219267,0.000000310,-0.433012724,-0.113479972,0.021230234,0.025812680,0.003460275,-0.003298788,-0.001216156,0.000504379,0.000000070
0.379362971,0.000000010,0.441366673,-0.000000038,-0.044984270,-0.000000007,0.003783490,-0.000000016,-0.000165546,0.000000024,-2.200000048,-0.000000128,0.346692771,-0.000000044,-0.059918623,0.000001314,0.010188679,-0.002219197,-0.000000287,-0.500000000,-0.000000023,0.078793824,-0.000000010,-0.013617872,0.000000299,0.002315610,-0.000504363,-0.000000065
0.662969947,0.400000304,0.566519737,-0.307220429,-0.069077328,0.122418262,0.005009118,-0.032988686,0.008157699,0.000001827,-1.905255556,0.872592747,0.285289317,-0.606180966,0.142019182,0.236553088,-0.152431697,0.027406823,0.000007517,-0.433012605,0.198316544,0.064838469,-0.137768418,0.032277096,0.053762078,-0.034643576,0.006228826,0.000001708
0.857404232,0.692820489,0.153579220,-0.089179769,0.208814174,-0.172657922,-0.077802800,0.112997055,-0.028564272,-0.000006139,-1.099999547,0.844236732,-0.044037279,0.515795350,-0.005387235,-0.369359016,0.185194969,-0.026437052,-0.000006489,-0.249999881,0.191871941,-0.010008479,0.117226250,-0.001224383,-0.083945252,0.042089783,-0.006008424,-0.000001475
3.000000000,0.800000131,-0.000000577,-2.225430012,0.000095004,22.253940582,-44.508075714,33.381107330,-8.901637077,0.000000000,0.000000433,4.762967587,0.000000673,-18.038345337,-23.105941772,106.103439331,-99.313339233,29.591323853,0.000000000,0.000000082,1.082492471,0.000000916,-4.099624157,-5.251365185,24.114439011,-22.571210861,6.725299358,0.000000000
