duration,cx0,cx1,cx2,cx3,cx4,cx5,cx6,cx7,cx8,cy0,cy1,cy2,cy3,cy4,cy5,cy6,cy7,cy8
0.331385553,0.000003069,0.000003010,0.000000160,0.000000086,0.000000000,4.055693626,-7.391780853,4.879493237,-1.147351146,-0.000002900,-0.000002270,0.000000079,-0.000000081,-0.000000000,-5.616257191,10.599020958,-7.113677025,1.685311913
0.304907680,0.396057457,0.833083332,0.020111335,-0.582705498,-0.093569115,0.933014512,-0.935483754,0.437575459,-0.085675322,-0.445603073,-0.736451566,0.528484166,0.947673082,-0.073700920,-1.425318480,1.445165396,-0.657256842,0.125843123
0.322969556,0.922409117,0.191415980,-0.225916088,0.214884862,-0.179868609,-0.057942573,0.051281087,0.017535519,-0.010625668,-0.291165203,0.867599189,0.083932489,-0.776985466,0.355266899,0.173857749,-0.118550099,-0.019694692,0.015608920
0.301396847,0.923173785,-0.260847867,-0.348312348,-0.032254521,0.128613383,0.038975473,-0.057950955,0.014794604,-0.000829174,0.289869219,0.252496988,-0.114636563,0.159649551,-0.114055201,-0.087844402,0.084623508,-0.020578561,0.001218418
0.336962372,0.405364066,-0.665973246,0.168197080,0.257562250,-0.134367019,-0.073668242,0.049704179,-0.006704998,-0.000113909,0.450741917,-0.022171991,-0.408908308,-0.188042432,0.126727849,0.091872647,-0.058207151,0.007820688,0.000166633
0.335437655,-0.000000007,-0.211362153,-0.000428396,-0.259996980,0.000202227,0.075658657,0.000439441,-0.007424132,0.000107520,0.000000110,-0.727698565,0.001834157,0.351690650,-0.001598501,-0.081949636,-0.000074510,0.008600674,-0.000158371
0.301294565,-0.402803868,-0.594239414,-0.136285648,0.182879880,0.086420000,-0.044152841,-0.022417169,0.008132274,0.000826196,-0.449354112,-0.023902034,0.325038821,-0.133002132,-0.079753302,0.055607323,0.024760781,-0.010643335,-0.001211371
0.322968990,-0.921640992,-0.283231616,0.398719102,-0.037462987,-0.169183314,0.022465134,0.122858465,-0.067002498,0.010543964,-0.292458922,0.268589109,0.135093421,0.195743561,0.148380250,-0.076642744,-0.178863853,0.104195356,-0.015466342
0.304999381,-0.923935175,0.179328918,0.202386141,0.179387212,0.142373160,-0.286657244,0.269935578,-0.246643394,0.085212536,0.288570076,0.820429921,-0.072893299,-0.651623607,-0.281230181,0.487051427,-0.365678787,0.347415507,-0.125002563
0.332924932,-0.398610383,0.909575522,-0.019434191,-0.753821969,0.128451496,-2.099665880,5.418128014,-4.343464375,1.158845901,0.447039604,-0.799103200,-0.636452496,1.222290039,0.111029997,2.996302843,-8.067207336,6.426035881,-1.699938536
